Марка;Ссилка;Ціна в долларах;Ціна в гривнях;Місто
Renault Express 2021Intense 1.5D МТ (95 к.с);https://auto.ria.com/newauto/auto-renault-express-1862941.html;   20 281 $   ;551 500 грн;Одеса 
Renault Megane 2020Life New 1.6 МТ (115 к.с);https://auto.ria.com/newauto/auto-renault-megane-1858671.html;   17 574 $   ;477 901 грн;Львів 
Renault Lodgy 2021Expression 1.5D МТ (90 к.с) 7s;https://auto.ria.com/newauto/auto-renault-lodgy-1862849.html;   21 174 $   ;575 799 грн;Одеса 
Renault Logan 2021Zen New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1860481.html;   15 223 $   ;413 960 грн;Чернівці 
Renault Kadjar 2021Intense 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1861705.html;   29 675 $   ;806 965 грн;Херсон 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1858938.html;   24 922 $   ;677 722 грн;Львів 
Renault Megane 2020Life New 1.6 МТ (115 к.с);https://auto.ria.com/newauto/auto-renault-megane-1861820.html;   17 729 $   ;482 100 грн;Херсон 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1861490.html;   15 324 $   ;416 700 грн;Київ 
Renault Sandero 2020Ultramarine base;https://auto.ria.com/newauto/auto-renault-sandero-1855870.html;   16 114 $   ;438 200 грн;Київ 
Renault Duster 2021Life 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1861491.html;   17 144 $   ;466 200 грн;Київ 
Renault Sandero StepWay 2021Life+ 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1861043.html;   15 202 $   ;413 400 грн;Житомир 
Renault Megane 2020Intense New 1.5D AТ (110 к.с);https://auto.ria.com/newauto/auto-renault-megane-1860359.html;   24 719 $   ;672 197 грн;Івано-Франківськ 
Renault Arkana 2021Zen 1.6i MT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1861825.html;   20 001 $   ;543 900 грн;Херсон 
Renault Kadjar 2021Intense 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1854380.html;   29 673 $   ;806 900 грн;Харків 
Renault Duster 2021Life 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1861796.html;   17 136 $   ;466 000 грн;Черкаси 
Renault Arkana 2020Intense+ 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1852758.html;   28 378 $   ;771 700 грн;Харків 
Renault Dokker пасс. 2021Expression 1.6 МТ (84 к.с);https://auto.ria.com/newauto/auto-renault-dokker-pass-1859904.html;   17 284 $   ;470 000 грн;Черкаси 
Renault Sandero StepWay 2021Ultramarine 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1860364.html;   15 665 $   ;425 999 грн;Івано-Франківськ 
Renault Sandero 2021Life+ 1.5DCi 5MT (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1862905.html;   14 297 $   ;388 799 грн;Одеса 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1858708.html;   15 691 $   ;426 699 грн;Київ 
Renault Sandero StepWay 2020Ultramarine 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1862844.html;   15 261 $   ;415 000 грн;Кропивницький (Кіровоград) 
Renault Express Van 2021Zen 1.5D МТ (95 к.с);https://auto.ria.com/newauto/auto-renault-express-van-1862394.html;   17 912 $   ;487 100 грн;Львів 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1858292.html;   26 400 $   ;717 899 грн;Одеса 
Renault Arkana 2020Intense+ 1.3 TCe CVT (150 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1854795.html;   28 382 $   ;771 799 грн;Чернігів 
Renault Express Van 2021Zen 1.5D МТ (95 к.с);https://auto.ria.com/newauto/auto-renault-express-van-1862383.html;   18 395 $   ;500 232 грн;Чернігів 
Renault Duster 2021Life 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1860357.html;   17 144 $   ;466 200 грн;Івано-Франківськ 
Renault Megane 2020Life New 1.6 МТ (115 к.с);https://auto.ria.com/newauto/auto-renault-megane-1844459.html;   17 729 $   ;482 100 грн;Одеса 
Renault Sandero 2020Life+ 1.5DCi 5MT (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1856936.html;   14 197 $   ;386 079 грн;Миколаїв 
Renault Megane 2020Intense New 1.5D AТ (110 к.с);https://auto.ria.com/newauto/auto-renault-megane-1862567.html;   24 271 $   ;660 000 грн;Кропивницький (Кіровоград) 
Renault Megane 2020Life New 1.6 МТ (115 к.с);https://auto.ria.com/newauto/auto-renault-megane-1852757.html;   17 729 $   ;482 100 грн;Харків 
Renault Logan 2021Zen New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1859189.html;   14 855 $   ;403 966 грн;Одеса 
Renault Kadjar 2021Zen 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1861528.html;   27 641 $   ;751 665 грн;Кропивницький (Кіровоград) 
Renault Arkana 2021Life 1.6i MT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1862382.html;   19 416 $   ;528 000 грн;Черкаси 
